,precip
1916-06-23,0.0
1916-06-24,0.0
1916-06-25,0.0
1916-06-26,0.0
1916-06-27,0.0
1916-06-28,0.0
1916-06-29,0.0
1916-06-30,0.0
1916-07-01,0.25
1916-07-02,0.25
1916-07-03,0.5
1916-07-04,0.0
1916-07-05,0.0
1916-07-06,0.0
1916-07-07,0.0
1916-07-08,0.0
1916-07-09,0.0
1916-07-10,0.0
1916-07-11,0.0
1916-07-12,0.0
1916-07-13,0.25
1916-07-14,0.0
1916-07-15,0.25
1916-07-16,0.0
1916-07-17,0.0
1916-07-18,0.0
1916-07-19,0.0
1916-07-20,0.0
1916-07-21,0.0
1916-07-22,0.0
1916-07-23,0.0
1916-07-24,2.25
1916-07-25,0.0
1916-07-26,0.0
1916-07-27,0.0
1916-07-28,0.0
1916-07-29,0.0
1916-07-30,0.0
1916-07-31,0.0
1916-08-01,0.0
1916-08-02,0.0
1916-08-03,0.0
1916-08-04,0.20000000298
1916-08-05,0.0
1916-08-06,0.0
1916-08-07,0.0
1916-08-08,0.0
1916-08-09,0.0
1916-08-10,0.0
1916-08-11,0.0
1916-08-12,0.0
1916-08-13,0.0
1916-08-14,0.0
1916-08-15,0.0
1916-08-16,0.0
1916-08-17,0.0
1916-08-18,0.0
1916-08-19,0.0
1916-08-20,0.0
1916-08-21,0.0
1916-08-22,0.0
1916-08-23,0.0
1916-08-24,0.0
1916-08-25,0.0
1916-08-26,0.0
1916-08-27,0.0
1916-08-28,1.27499997616
1916-08-29,1.45000004768
1916-08-30,3.59999990463
1916-08-31,0.0
1916-09-01,0.0
1916-09-02,0.0
1916-09-03,0.0
1916-09-04,0.0
1916-09-05,0.0
1916-09-06,0.0
1916-09-07,0.0
1916-09-08,0.0
1916-09-09,0.0
1916-09-10,0.0
1916-09-11,0.0
1916-09-12,0.0
1916-09-13,0.0
1916-09-14,0.0
1916-09-15,0.0
1916-09-16,0.0
1916-09-17,0.0
1916-09-18,0.0
1916-09-19,0.0
1916-09-20,0.0
1916-09-21,0.0
1916-09-22,1.79999995232
1916-09-23,0.0
1916-09-24,0.0
1916-09-25,0.0
1916-09-26,0.0
1916-09-27,0.0
1916-09-28,0.0
1916-09-29,0.0
1916-09-30,0.0
1916-10-01,1.25
1916-10-02,6.34999990463
1916-10-03,13.8500003815
1916-10-04,13.7250003815
1916-10-05,0.0
1916-10-06,1.45000004768
1916-10-07,0.75
1916-10-08,0.0
1916-10-09,0.0
1916-10-10,0.649999976158
1916-10-11,0.324999988079
1916-10-12,1.02499997616
1916-10-13,0.0
1916-10-14,1.57500004768
1916-10-15,0.0
1916-10-16,0.0
1916-10-17,0.0
1916-10-18,0.0
1916-10-19,0.0
1916-10-20,0.0
1916-10-21,0.0
1916-10-22,0.0
1916-10-23,0.0
1916-10-24,0.0
1916-10-25,0.0
1916-10-26,0.0
1916-10-27,0.0
1916-10-28,0.0
1916-10-29,0.0
1916-10-30,0.0
1916-10-31,0.0
1916-11-01,0.0
1916-11-02,0.0
1916-11-03,0.0
1916-11-04,0.0
1916-11-05,2.20000004768
1916-11-06,1.625
1916-11-07,0.0
1916-11-08,0.0
1916-11-09,0.0
1916-11-10,0.0
1916-11-11,0.0
